"Id","Date","Survey_Start","Survey_End","Surveyed_Persons","Parliament_ID","Institute_ID","Tasker_ID","Method_ID","NoParties"
2960,2023-04-05,2023-03-27,2023-04-03,"1000","2","5","4","3",8
2954,2023-04-05,2023-03-27,2023-04-04,"1000","4","5","57","3",8
2953,2023-04-05,2023-03-27,2023-04-03,"1000","3","5","4","3",7
2955,2023-04-04,2023-03-29,2023-04-03,"1007","0","4","7","1",7
2952,2023-04-04,2023-03-28,2023-04-03,"2503","0","2","63","1",7
2951,2023-04-03,2023-03-31,2023-04-03,"2007","0","5","4","3",7
2950,2023-04-03,2023-03-20,2023-03-27,"1000","1","5","4","3",7
2949,2023-04-01,2023-03-27,2023-03-31,"1200","0","5","3","4",7
2948,2023-04-01,2023-03-21,2023-03-28,"1387","0","3","64","1",7
2946,2023-03-31,2023-03-28,2023-03-30,"1379","0","6","5","1",7
2947,2023-03-30,2023-03-27,2023-03-28,"1005","10","2","105","3",7
2945,2023-03-30,2023-03-27,2023-03-28,"1180","11","1","46","4",7
2944,2023-03-28,2023-03-21,2023-03-27,"2506","0","2","63","1",7
2943,2023-03-27,2023-03-23,2023-03-26,"1200","0","24","97","3",7
2942,2023-03-27,2023-03-24,2023-03-27,"2004","0","5","4","3",7
2941,2023-03-26,2023-03-20,2023-03-24,"1203","0","5","3","4",7
2940,2023-03-25,2023-03-14,2023-03-21,"1504","0","3","64","1",7
2939,2023-03-23,2023-03-16,2023-03-21,"1178","1","1","25","4",6
2938,2023-03-23,2023-03-15,2023-03-20,"1176","12","1","40","4",7
2937,2023-03-23,2023-03-02,2023-03-15,"1101","0","9","6","2",7
2936,2023-03-22,2023-03-14,2023-03-21,"1000","11","24","97","3",8
2935,2023-03-21,2023-03-06,2023-03-13,"1000","14","5","4","3",7
2934,2023-03-21,2023-03-14,2023-03-20,"2503","0","2","63","1",7
2933,2023-03-20,2023-03-17,2023-03-20,"2006","0","5","4","3",7
2932,2023-03-19,2023-03-13,2023-03-17,"1202","0","5","3","4",7
2931,2023-03-18,2023-03-08,2023-03-14,"1423","0","3","64","1",7
2930,2023-03-17,2023-03-14,2023-03-16,"1146","0","6","5","1",7
2929,2023-03-16,2023-03-14,2023-03-15,"1215","0","1","1","4",7
2927,2023-03-14,2023-03-07,2023-03-13,"2505","0","2","63","1",7
2926,2023-03-14,2023-03-07,2023-03-11,"1177","7","1","35","4",7
2928,2023-03-13,2023-03-07,2023-03-13,"1005","1","24","97","3",8
2925,2023-03-13,2023-03-10,2023-03-13,"1002","0","5","4","3",7
2924,2023-03-13,2023-03-07,2023-03-13,"978","4","24","97","3",8
2923,2023-03-12,2023-03-06,2023-03-10,"1268","0","5","3","4",7
2922,2023-03-11,2023-03-01,2023-03-07,"1504","0","3","64","1",7
2921,2023-03-10,2023-03-03,2023-03-04,"1000","0","17","13","3",7
2920,2023-03-10,2023-03-03,2023-03-07,"1649","0","13","43","3",8
2919,2023-03-08,2023-03-03,2023-03-07,"1003","7","24","97","3",8
2918,2023-03-07,2023-02-28,2023-03-06,"2504","0","2","63","1",7
2917,2023-03-07,2023-03-03,2023-03-06,"2007","0","5","4","3",7
2916,2023-03-05,2023-02-27,2023-03-03,"1203","0","5","3","4",7
2915,2023-03-04,2023-02-21,2023-02-28,"1722","0","3","64","1",7
2914,2023-03-03,2023-02-28,2023-03-02,"1165","0","6","5","1",7
2913,2023-03-02,2023-02-27,2023-03-01,"1311","0","1","10","4",7
2912,2023-03-01,2023-02-27,2023-03-01,"1419","0","24","97","3",7
2911,2023-03-01,2023-02-22,2023-02-27,"1179","5","1","48","4",7
2910,2023-02-28,2023-02-21,2023-02-27,"2501","0","2","63","1",7
2909,2023-02-27,2023-02-24,2023-02-27,"2010","0","5","4","3",7
2908,2023-02-26,2023-02-20,2023-02-24,"1200","0","5","3","4",7
2907,2023-02-25,2023-02-14,2023-02-21,"1373","0","3","64","1",7
2905,2023-02-21,2023-02-15,2023-02-20,"1004","0","4","7","1",7
2904,2023-02-21,2023-02-14,2023-02-20,"2510","0","2","63","1",7
2901,2023-02-20,2023-02-17,2023-02-20,"2006","0","5","4","3",7
2900,2023-02-19,2023-02-14,2023-02-19,"1008","2","24","97","3",8
2899,2023-02-19,2023-02-13,2023-02-17,"832","5","24","97","3",8
2898,2023-02-19,2023-02-13,2023-02-17,"1207","0","5","3","4",7
2902,2023-02-18,2023-02-02,2023-02-16,"5503","2","16","60","3",8
2897,2023-02-18,2023-02-08,2023-02-14,"1386","0","3","64","1",7
2903,2023-02-17,2023-02-08,2023-02-16,"1022","2","2","104","1",7
2895,2023-02-17,2023-02-14,2023-02-16,"1361","0","6","5","1",7
2894,2023-02-17,2023-02-14,2023-02-15,"1216","0","1","1","4",7
2896,2023-02-16,2023-02-01,2023-02-08,"2007","9","2","101","3",7
2893,2023-02-15,2023-01-27,2023-02-09,"1088","0","9","6","2",7
2892,2023-02-14,2023-02-07,2023-02-13,"2505","0","2","63","1",7
2891,2023-02-13,2023-02-10,2023-02-13,"2005","0","5","4","3",7
2889,2023-02-12,2023-02-06,2023-02-10,"1457","0","5","3","4",7
2888,2023-02-11,2023-01-31,2023-02-07,"1410","0","3","64","1",7
2890,2023-02-11,2023-02-08,2023-02-10,"1000","3","24","97","3",7
2887,2023-02-10,2023-02-03,2023-02-09,"1736","0","13","43","3",8
2886,2023-02-09,2023-02-08,2023-02-09,"1059","3","6","5","1",7
2885,2023-02-09,2023-02-02,2023-02-09,"2002","3","16","86","3",7
2884,2023-02-09,2023-02-02,2023-02-09,"1000","3","5","4","3",7
2883,2023-02-09,2023-02-03,2023-02-03,"1000","0","17","13","3",7
2882,2023-02-07,2023-01-31,2023-02-06,"2502","0","2","63","1",7
2880,2023-02-06,2023-02-03,2023-02-06,"1521","7","24","97","3",8
2879,2023-02-06,2023-02-03,2023-02-06,"2008","0","5","4","3",7
2906,2023-02-06,2023-01-22,2023-02-05,"2400","13","16","62","3",7
2878,2023-02-05,2023-01-30,2023-02-03,"1005","3","2","15","3",7
2877,2023-02-05,2023-01-30,2023-02-03,"1462","0","5","3","4",7
2876,2023-02-04,2023-01-25,2023-01-31,"1405","0","3","64","1",7
2881,2023-02-03,2023-01-23,2023-01-31,"1006","10","2","26","1",7
2875,2023-02-03,2023-01-31,2023-02-02,"1151","3","6","5","1",7
2874,2023-02-02,2023-01-31,2023-02-02,"1034","3","24","97","3",8
2873,2023-02-02,2023-01-30,2023-02-01,"1328","0","1","10","4",7
2872,2023-02-02,2023-01-30,2023-02-01,"1540","3","1","11","4",7
2871,2023-02-01,2023-01-20,2023-01-27,"1000","16","5","80","3",8
2870,2023-01-31,2023-01-24,2023-01-30,"2503","0","2","63","1",7
2869,2023-01-30,2023-01-27,2023-01-30,"2007","0","5","4","3",7
2868,2023-01-28,2023-01-24,2023-01-27,"1506","0","5","3","4",7
2867,2023-01-28,2023-01-18,2023-01-24,"1392","0","3","64","1",7
2866,2023-01-27,2023-01-26,2023-01-27,"1421","0","24","97","3",7
2864,2023-01-27,2023-01-24,2023-01-26,"1345","0","6","5","1",7
2865,2023-01-26,2023-01-19,2023-01-26,"2001","3","16","17","3",7
2863,2023-01-26,2023-01-18,2023-01-23,"1004","8","2","38","4",7
2862,2023-01-26,2023-01-05,2023-01-18,"1023","0","9","6","2",7
2861,2023-01-25,2023-01-11,2023-01-19,"853","12","24","97","3",7
2860,2023-01-24,2023-01-17,2023-01-23,"2502","0","2","63","1",7
2859,2023-01-23,2023-01-20,2023-01-23,"2009","0","5","4","3",7
2858,2023-01-22,2023-01-16,2023-01-20,"1508","0","5","3","4",7
2857,2023-01-21,2023-01-11,2023-01-17,"1418","0","3","64","1",7
2856,2023-01-19,2023-01-17,2023-01-18,"1211","0","1","1","4",7
2855,2023-01-18,2023-01-12,2023-01-16,"1162","3","1","16","4",7
2854,2023-01-17,2023-01-13,2023-01-17,"1040","2","24","97","3",8
2852,2023-01-17,2023-01-10,2023-01-16,"2500","0","2","63","1",7
2851,2023-01-16,2023-01-13,2023-01-16,"2006","0","5","4","3",7
2850,2023-01-16,2023-01-15,2023-01-16,"1500","0","24","97","3",7
2848,2023-01-15,2023-01-09,2023-01-13,"1202","0","5","3","4",7
2853,2023-01-14,2022-12-29,2023-01-12,"5499","2","16","60","3",8
2847,2023-01-14,2023-01-04,2023-01-10,"1398","0","3","64","1",7
2849,2023-01-13,2023-01-06,2023-01-13,"982","14","24","97","3",7
2846,2023-01-13,2023-01-06,2023-01-10,"1561","0","13","43","3",8
2845,2023-01-13,2023-01-09,2023-01-10,"1000","0","17","13","3",7
2843,2023-01-13,2023-01-10,2023-01-12,"1259","0","6","5","1",7
2844,2023-01-12,2023-01-05,2023-01-12,"2004","3","16","17","3",7
2842,2023-01-12,2023-01-02,2023-01-09,"2000","2","5","4","3",8
2841,2023-01-11,2023-01-04,2023-01-09,"1190","2","1","53","4",7
2840,2023-01-10,2023-01-03,2023-01-09,"2502","0","2","63","1",7
2839,2023-01-10,2023-01-06,2023-01-09,"2006","0","5","4","3",7
2838,2023-01-09,2023-01-06,2023-01-09,"1100","3","24","97","3",8
2837,2023-01-08,2023-01-02,2023-01-06,"1465","0","5","3","4",7
2836,2023-01-05,2023-01-02,2023-01-04,"1314","0","1","10","4",7
2835,2023-01-04,2022-12-28,2023-01-03,"1003","2","4","12","1",9
2834,2023-01-04,2022-12-28,2023-01-03,"1002","0","4","7","1",7
2833,2023-01-02,2022-12-29,2023-01-02,"2010","0","5","4","3",7
2832,2022-12-31,2022-12-27,2022-12-29,"1205","0","5","3","4",7
2831,2022-12-28,2022-11-28,2022-12-15,"1011","4","21","83","4",8
2830,2022-12-28,2022-12-23,2022-12-27,"1150","7","24","97","3",8
2829,2022-12-24,2022-12-19,2022-12-22,"1203","0","5","3","4",7
2828,2022-12-24,2022-12-13,2022-12-15,"1717","0","3","64","1",7
2827,2022-12-23,2022-12-19,2022-12-23,"967","5","24","97","3",8
2826,2022-12-22,2022-12-18,2022-12-22,"1000","1","24","97","3",8
2824,2022-12-22,2022-12-16,2022-12-21,"1608","0","13","43","3",8
2825,2022-12-21,2022-12-18,2022-12-20,"1020","13","24","97","3",7
2823,2022-12-21,2022-12-02,2022-12-15,"1035","0","9","6","2",7
2822,2022-12-21,2022-12-12,2022-12-19,"1000","3","5","4","3",7
2821,2022-12-20,2022-12-13,2022-12-19,"2503","0","2","63","1",7
2820,2022-12-19,2022-12-16,2022-12-19,"2005","0","5","4","3",7
2819,2022-12-18,2022-12-12,2022-12-16,"1501","0","5","3","4",7
2818,2022-12-17,2022-12-15,2022-12-16,"1100","17","24","97","3",11
2817,2022-12-17,2022-12-07,2022-12-12,"1429","0","3","64","1",7
2816,2022-12-16,2022-12-12,2022-12-15,"1365","0","6","5","1",7
2815,2022-12-15,2022-12-09,2022-12-13,"1166","11","1","46","4",7
2814,2022-12-14,2022-12-11,2022-12-13,"1456","3","24","97","3",8
2813,2022-12-13,2022-12-06,2022-12-12,"2506","0","2","63","1",7
2812,2022-12-13,2022-12-09,2022-12-12,"2007","0","5","4","3",7
2811,2022-12-11,2022-12-05,2022-12-11,"1016","16","24","97","3",7
2809,2022-12-11,2022-12-05,2022-12-09,"1502","0","5","3","4",7
2810,2022-12-10,2022-12-02,2022-12-09,"2001","3","16","17","3",7
2808,2022-12-10,2022-11-30,2022-12-06,"1443","0","3","64","1",7
2807,2022-12-09,2022-12-07,2022-12-09,"1500","0","24","97","3",7
2805,2022-12-08,2022-12-06,2022-12-07,"1259","0","1","1","4",7
2804,2022-12-08,2022-12-02,2022-12-03,"1000","0","17","13","3",7
2806,2022-12-07,2022-11-28,2022-12-05,"10000","0","16","14","3",7
2802,2022-12-06,2022-11-29,2022-12-05,"2500","0","2","63","1",7
2801,2022-12-06,2022-12-03,2022-12-05,"2008","0","5","4","3",7
2803,2022-12-05,2022-12-02,2022-12-05,"1944","2","24","97","3",8
2799,2022-12-04,2022-11-28,2022-12-02,"1502","0","5","3","4",7
2800,2022-12-03,2022-11-22,2022-11-29,"1414","0","3","64","1",7
2798,2022-12-02,2022-11-28,2022-12-01,"1005","0","4","7","1",7
2797,2022-12-01,2022-11-28,2022-12-01,"1200","5","24","97","3",8
2796,2022-12-01,2022-11-28,2022-11-30,"1318","0","1","10","4",7
2795,2022-11-29,2022-11-22,2022-11-28,"2505","0","2","63","1",7
2794,2022-11-28,2022-11-25,2022-11-28,"2006","0","5","4","3",7
2793,2022-11-27,2022-11-25,2022-11-27,"1100","7","24","97","3",8
2792,2022-11-27,2022-11-21,2022-11-25,"1501","0","5","3","4",7
2791,2022-11-26,2022-11-15,2022-11-22,"1430","0","3","64","1",7
2790,2022-11-25,2022-11-07,2022-11-14,"1000","11","5","4","3",8
2789,2022-11-25,2022-11-06,2022-11-18,"1922","4","24","97","3",8
2788,2022-11-25,2022-11-22,2022-11-24,"1273","0","6","5","1",7
2787,2022-11-24,2022-11-05,2022-11-17,"1042","0","9","6","2",7
2786,2022-11-23,2022-11-17,2022-11-21,"1179","3","1","16","4",7
2785,2022-11-22,2022-11-15,2022-11-21,"2502","0","2","63","1",7
2784,2022-11-21,2022-11-18,2022-11-21,"2004","0","5","4","3",7
2783,2022-11-21,2022-11-06,2022-11-20,"5501","2","16","60","3",8
2782,2022-11-20,2022-11-14,2022-11-18,"1314","0","5","3","4",7
2781,2022-11-19,2022-11-09,2022-11-15,"1443","0","3","64","1",7
2780,2022-11-17,2022-11-16,2022-11-17,"1200","3","24","97","3",8
2779,2022-11-16,2022-11-07,2022-11-14,"1000","3","5","69","3",7
2778,2022-11-15,2022-11-08,2022-11-14,"2503","0","2","63","1",7
2777,2022-11-15,2022-11-11,2022-11-14,"2010","0","5","4","3",7
2775,2022-11-13,2022-11-08,2022-11-11,"1255","0","5","3","4",7
2776,2022-11-12,2022-11-07,2022-11-11,"1400","10","24","97","3",7
2774,2022-11-12,2022-11-02,2022-11-08,"1442","0","3","64","1",7
2773,2022-11-11,2022-11-04,2022-11-09,"1606","0","13","43","3",8
2772,2022-11-11,2022-11-08,2022-11-10,"1310","0","6","5","1",7
2770,2022-11-11,2022-11-08,2022-11-09,"1225","0","1","1","4",7
2771,2022-11-10,2022-11-01,2022-11-08,"1108","16","5","80","3",8
2769,2022-11-09,2022-11-04,2022-11-07,"1000","0","17","13","3",7
2768,2022-11-08,2022-11-07,2022-11-08,"1300","0","24","97","3",7
2767,2022-11-08,2022-11-01,2022-11-07,"2502","0","2","63","1",7
2766,2022-11-08,2022-11-04,2022-11-07,"2007","0","5","4","3",7
2765,2022-11-06,2022-11-03,2022-11-05,"879","12","24","97","3",7
2764,2022-11-06,2022-11-01,2022-11-04,"1286","0","5","3","4",7
2763,2022-11-05,2022-10-25,2022-11-02,"1516","0","3","64","1",7
2761,2022-11-04,2022-10-29,2022-11-03,"1040","2","24","97","3",8
2760,2022-11-03,2022-10-31,2022-11-02,"1307","0","1","10","4",7
2759,2022-11-02,2022-10-24,2022-11-02,"942","15","24","97","3",7
2758,2022-11-02,2022-10-24,2022-10-31,"1000","1","5","4","3",7
2757,2022-11-02,2022-10-25,2022-10-31,"2503","0","2","63","1",7
2756,2022-11-01,2022-10-28,2022-10-31,"2009","0","5","4","3",7
2755,2022-10-31,2022-10-25,2022-10-31,"1008","16","24","97","3",7
2753,2022-10-30,2022-10-24,2022-10-28,"1230","0","5","3","4",7
2754,2022-10-29,2022-10-27,2022-10-29,"1311","3","24","97","3",7
2752,2022-10-29,2022-10-19,2022-10-25,"1406","0","3","64","1",7
2751,2022-10-28,2022-10-17,2022-10-25,"1083","2","2","103","1",8
2750,2022-10-28,2022-10-24,2022-10-28,"1082","7","24","97","3",8
2749,2022-10-27,2022-10-20,2022-10-25,"1175","1","1","25","4",7
2762,2022-10-26,2022-09-26,2022-10-24,"1705","6","16","65","3",7
2748,2022-10-26,2022-10-19,2022-10-25,"1002","2","4","12","1",9
2747,2022-10-26,2022-10-19,2022-10-25,"1002","0","4","7","1",7
2746,2022-10-25,2022-10-21,2022-10-24,"2007","0","5","4","3",7
2745,2022-10-25,2022-10-18,2022-10-24,"2502","0","2","63","1",7
2744,2022-10-23,2022-10-16,2022-10-22,"1014","1","24","97","3",8
2742,2022-10-23,2022-10-17,2022-10-21,"1503","0","5","3","4",7
2741,2022-10-23,2022-10-17,2022-10-20,"1185","10","1","28","4",6
2743,2022-10-22,2022-10-13,2022-10-22,"989","5","24","97","3",8
2740,2022-10-22,2022-10-12,2022-10-18,"1435","0","3","64","1",7
2739,2022-10-21,2022-10-18,2022-10-21,"1910","0","24","97","3",7
2738,2022-10-21,2022-10-18,2022-10-20,"1389","0","6","5","1",7
2737,2022-10-20,2022-10-01,2022-10-13,"1021","0","9","6","2",7
2736,2022-10-19,2022-10-13,2022-10-18,"1168","8","1","39","4",7
2735,2022-10-19,2022-10-12,2022-10-15,"1161","7","1","35","4",7
2734,2022-10-18,2022-10-10,2022-10-17,"1000","2","5","4","3",8
2732,2022-10-18,2022-10-11,2022-10-17,"2505","0","2","63","1",7
2733,2022-10-17,2022-10-14,2022-10-17,"2000","0","5","4","3",7
2731,2022-10-17,2022-10-14,2022-10-17,"1023","11","24","97","3",8
2730,2022-10-16,2022-10-10,2022-10-14,"1327","0","5","3","4",7
2729,2022-10-15,2022-10-05,2022-10-11,"1433","0","3","64","1",7
2728,2022-10-14,2022-10-07,2022-10-12,"1617","0","13","43","3",8
2727,2022-10-14,2022-10-11,2022-10-12,"1225","0","1","1","4",7
2726,2022-10-13,2022-10-10,2022-10-13,"1100","3","24","97","3",7
2725,2022-10-13,2022-10-07,2022-10-11,"1157","2","1","53","4",7
2724,2022-10-12,2022-10-07,2022-10-09,"1000","0","17","13","3",7
2723,2022-10-11,2022-10-04,2022-10-10,"2501","0","2","63","1",7
2722,2022-10-11,2022-10-04,2022-10-10,"1000","4","5","4","3",8
2721,2022-10-10,2022-10-04,2022-10-10,"2005","0","5","4","3",7
2720,2022-10-08,2022-10-04,2022-10-07,"1315","0","5","3","4",7
2719,2022-10-08,2022-09-28,2022-10-04,"1864","0","3","64","1",7
2718,2022-10-07,2022-10-06,2022-10-07,"900","9","24","97","3",7
2717,2022-10-06,2022-10-03,2022-10-06,"1923","0","24","97","3",7
2716,2022-10-06,2022-09-29,2022-10-06,"3001","9","16","14","3",7
2715,2022-10-06,2022-10-05,2022-10-06,"1046","9","6","5","1",7
2714,2022-10-06,2022-10-03,2022-10-05,"1307","0","1","10","4",7
2713,2022-10-04,2022-09-29,2022-10-04,"2008","0","5","4","3",7
2712,2022-10-04,2022-09-29,2022-10-04,"1000","9","5","4","3",7
2711,2022-10-04,2022-09-27,2022-09-30,"2001","0","2","63","1",7
2710,2022-10-02,2022-09-26,2022-09-30,"1210","0","5","3","4",7
2709,2022-10-01,2022-09-29,2022-10-01,"967","9","24","97","3",7
2708,2022-10-01,2022-09-22,2022-09-27,"1381","0","3","64","1",7
2707,2022-09-30,2022-09-21,2022-09-26,"1511","10","2","100","3",7
2706,2022-09-30,2022-09-25,2022-09-29,"1400","7","24","97","4",8
2705,2022-09-30,2022-09-27,2022-09-29,"1355","0","6","5","1",7
2704,2022-09-30,2022-09-26,2022-09-29,"1023","9","6","5","1",7
2703,2022-09-29,2022-09-26,2022-09-28,"1529","9","1","11","4",7
2702,2022-09-29,2022-09-26,2022-09-27,"1183","11","1","46","4",7
2701,2022-09-28,2022-09-15,2022-09-21,"2018","9","2","101","3",7
2699,2022-09-28,2022-09-22,2022-09-26,"1165","4","1","70","4",8
2700,2022-09-27,2022-09-18,2022-09-26,"1010","5","24","97","3",8
2698,2022-09-27,2022-09-20,2022-09-26,"2505","0","2","63","1",7
2697,2022-09-26,2022-09-23,2022-09-26,"2102","0","5","4","3",7
2695,2022-09-25,2022-09-19,2022-09-23,"1255","0","5","3","4",7
2696,2022-09-24,2022-09-23,2022-09-24,"1000","9","24","97","3",7
2694,2022-09-24,2022-09-14,2022-09-20,"1444","0","3","64","1",7
2693,2022-09-22,2022-09-20,2022-09-22,"1700","0","24","97","3",7
2692,2022-09-22,2022-09-15,2022-09-20,"1156","9","1","39","4",7
2691,2022-09-21,2022-09-14,2022-09-20,"1004","2","4","12","1",9
2690,2022-09-21,2022-09-13,2022-09-17,"1173","3","1","16","4",7
2689,2022-09-21,2022-09-07,2022-09-15,"1081","16","5","80","3",7
2688,2022-09-21,2022-09-14,2022-09-20,"1003","0","4","7","1",7
2687,2022-09-20,2022-09-17,2022-09-19,"1000","13","24","97","3",7
2686,2022-09-20,2022-09-13,2022-09-19,"2506","0","2","63","1",7
2685,2022-09-20,2022-09-16,2022-09-19,"2080","0","5","4","3",7
2684,2022-09-18,2022-09-12,2022-09-16,"1476","0","5","3","4",7
2683,2022-09-17,2022-09-07,2022-09-13,"1443","0","3","64","1",7
2682,2022-09-17,2022-09-16,2022-09-17,"992","9","24","97","3",7
2681,2022-09-16,2022-09-09,2022-09-16,"950","6","24","97","3",7
2680,2022-09-16,2022-09-09,2022-09-13,"1635","0","13","43","3",8
2679,2022-09-16,2022-09-01,2022-09-14,"1030","0","9","6","2",7
2677,2022-09-15,2022-09-13,2022-09-14,"1224","0","1","1","4",7
2678,2022-09-13,2022-09-06,2022-09-13,"3003","9","16","14","3",7
2676,2022-09-13,2022-09-06,2022-09-13,"1371","2","24","97","3",8
2674,2022-09-13,2022-09-06,2022-09-13,"2501","0","2","63","1",7
2673,2022-09-12,2022-09-09,2022-09-12,"2039","0","5","4","3",7
2672,2022-09-12,2022-09-04,2022-09-11,"1100","4","24","97","3",8
2671,2022-09-11,2022-09-09,2022-09-11,"1300","0","24","97","3",7
2670,2022-09-11,2022-09-05,2022-09-09,"1443","0","5","3","4",7
